19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:11  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:12  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:12  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:12  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:12  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:12  L -> UBX CFG,  Size  10,  'Config'
19:26:13  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:13  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:13  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:13  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:13  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:13  L -> UBX CFG,  Size  10,  'Config'
19:26:14  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:14  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:14  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:14  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:14  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:15  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:15  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:15  L -> UBX CFG,  Size  10,  'Config'
19:26:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:15  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:15  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:15  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:15  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:16  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:16  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:16  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:16  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:16  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:16  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:16  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:16  L -> UBX CFG,  Size  10,  'Config'
19:26:17  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:17  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:17  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:17  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:17  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:17  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:17  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:18  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:18  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:18  L -> UBX CFG,  Size  10,  'Config'
19:26:18  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:18  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:18  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:18  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:18  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:19  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:19  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:19  L -> UBX CFG,  Size  10,  'Config'
19:26:19  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:19  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:19  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:19  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:19  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:20  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:20  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:20  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:20  L -> UBX CFG,  Size  10,  'Config'
19:26:20  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:20  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:20  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:20  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:21  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:21  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:21  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:21  L -> UBX CFG,  Size  10,  'Config'
19:26:21  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:21  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:21  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:21  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:22  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:22  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:22  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:22  L -> UBX CFG,  Size  10,  'Config'
19:26:22  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:22  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:22  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:22  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:23  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:23  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:23  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:23  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:23  L -> UBX CFG,  Size  10,  'Config'
19:26:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:23  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:23  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:23  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:24  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:24  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:24  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:24  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:24  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:24  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:24  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:24  L -> UBX CFG,  Size  10,  'Config'
19:26:25  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:25  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:25  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:25  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:25  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:25  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:25  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:26  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:26  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:26  L -> UBX CFG,  Size  10,  'Config'
19:26:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:26  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:26  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:27  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:27  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:27  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:27  L -> UBX CFG,  Size  10,  'Config'
19:26:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:27  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:28  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:28  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:28  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:28  L -> UBX CFG,  Size  10,  'Config'
19:26:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:28  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:28  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:29  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:29  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:29  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:29  L -> UBX CFG,  Size  10,  'Config'
19:26:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:29  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:30  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:30  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:30  L -> UBX CFG,  Size  10,  'Config'
19:26:30  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:30  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:31  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:31  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:31  L -> UBX CFG,  Size  10,  'Config'
19:26:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:31  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:32  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:32  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:32  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:32  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:32  L -> UBX CFG,  Size  10,  'Config'
19:26:32  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:32  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:32  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:33  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:33  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:33  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:33  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:33  L -> UBX CFG,  Size  10,  'Config'
19:26:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:33  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:33  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:34  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:34  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:34  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:34  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:34  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:26:34  L -> UBX CFG,  Size  10,  'Config'
19:26:34  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:34  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:35  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:35  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:35  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:35  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:35  L -> UBX CFG,  Size  10,  'Config'
19:26:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:35  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:35  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:36  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:36  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:36  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:36  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:36  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:36  L -> UBX CFG,  Size  10,  'Config'
19:26:36  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:37  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:37  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:37  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:37  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:37  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:37  L -> UBX CFG,  Size  10,  'Config'
19:26:37  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:38  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:38  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:38  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:38  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:38  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:38  L -> UBX CFG,  Size  10,  'Config'
19:26:38  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:39  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:39  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:39  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:39  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:39  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:39  L -> UBX CFG,  Size  10,  'Config'
19:26:39  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:40  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:40  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:40  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:40  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:26:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:26:40  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:26:40  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:26:40  L -> UBX CFG,  Size  10,  'Config'
19:26:41  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:26:41  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:26:41  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:26:41  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
